clust_HDDS,clust_HDDS_predict
4.6875,2.5719934
5.2352943,2.3994813
5.7199998,7.2966375
5.0952382,11.562933
5.3125,7.3335562
5.4210525,7.5729146
5.2608695,7.0817966
5.6500001,3.041254
5.318182,7.0296874
5.125,3.2338254
4.9259257,7.3637624
4.0952382,2.7272203
4.590909,2.8926797
5.1904764,11.360881
5.3888888,3.4369569
5.7142859,3.1461637
6.25,3.9825099
6,
5.181818,2.5972474
4.8499999,3.0961599
4.6500001,2.0168142
5.6500001,6.8152494
5.7272725,6.934742
5.2631578,6.5340033
6.1666665,6.977488
5.3684211,11.148293
5.8125,3.0775599
6.1578946,2.018682
5.7058825,1.8832953
6.5,7.8815398
6.1052632,
5.6842103,8.1941175
5.0588236,7.2780633
4.9411764,7.1600404
4.5625,11.639166
5.1111112,11.87094
6.0555553,3.1735532
5.2777777,2.6993694
5.8095236,3.9857433
5.3333335,7.3803301
5.3125,2.903893
5,7.2727404
5.6875,7.3401623
5.4705882,3.0053182
6.4375,8.1506872
6.0999999,8.5316811
5.6363635,8.1913767
5.6500001,7.732893
5.826087,2.9801641
5.5652175,7.4476585
5.2173915,3.0492752
5.4444447,7.354991
4.7777777,6.3435884
5.3888888,3.2399158
4.7777777,2.7661166
4.5999999,2.8704658
5.9130435,7.9950118
5.1666665,3.044678
5.1666665,2.9926884
4.7333331,6.952137
4.25,7.1548548
4.4000001,6.8361187
4.8499999,7.2527971
6.3157897,4.4193988
6.2142859,8.6132994
6.818182,4.9022899
6.409091,4.3989964
6.4210525,9.0235319
5.695652,8.0832129
6.8000002,10.227778
5.7083335,3.8914759
6.25,8.0206728
5.8125,7.7922044
4.8421054,2.9550176
4.9444447,2.7788856
4.8235292,2.598573
5.2631578,2.0309727
5.2380953,6.4673223
4.7058825,6.0438166
6.4499998,7.6758618
6.3157897,7.1986523
5.7894735,6.8708553
5.4210525,11.0881
5.5714288,6.6781964
6,7.7956228
5.2222223,6.7018743
5.4285712,6.7403836
6.1904764,7.5814586
5.4375,2.7789118
4.9444447,
5.4499998,1.2368444
5.25,3.3049309
4.7777777,2.2790899
5.8888888,12.298743
6.352941,8.7520971
6.2631578,7.2852545
6.2727275,7.9545932
6.6315789,7.6811166
5.96,7.8176165
5.8499999,8.3770924
6.125,8.0923586
5.625,11.42599
6.0454545,2.3877392
5.2941175,2.3470671
6.0526314,3.9288061
5.681818,2.5081897
5.352941,6.948956
5.0625,6.763164
5.1764708,6.5799007
5.8235292,3.0228825
5.6666665,3.1490119
5.25,7.0687399
5.4736843,7.5249476
6.8571429,13.920733
5.9130435,3.1070468
5.5500002,2.9492054
5.3636365,2.8611176
5.4347825,7.1264796
5.2857141,6.2933412
6.1599998,8.425765
6.0555553,3.6352482
5.9000001,3.6788578
5.3000002,7.1336513
4.3684211,7.0319285
4.8000002,2.8693254
4.9523811,3.0602245
4.8571429,2.7677591
5.7391305,3.1067901
4.9629631,2.8692601
4.8823528,7.0725713
5,2.9746122
6.5,8.6954794
5.8499999,8.4540672
5.5,6.2942309
5.3684211,6.3659096
5.1999998,6.4213724
5.7142859,3.1794536
4.9523811,2.8900573
5.5714288,3.1101282
5.4117646,3.0178256
5.090909,3.2343962
5.5714288,3.4847414
6.3125,7.7809234
5.8888888,7.0969305
6.1052632,7.3751354
5.5625,6.3528185
5.5500002,2.6237297
5.304348,2.7883074
5.7368422,10.073451
5.4761906,11.014651
5.4736843,2.3503175
5.5,3.1478481
6.1111112,11.624506
6.3846154,8.1475134
5.9130435,7.4074831
6,12.484494
6.2105265,8.3815031
6.5714288,12.894917
6.6666665,9.7913465
5.7272725,
4.9473686,
6.173913,
5.5625,
5.5263157,
5.2105265,
6.090909,
4.5,
5.8095236,
6.0555553,
6.0500002,
6.1428571,
5.9411764,
4.1578946,
5.3157897,
5.3000002,
5.0555553,
5.2105265,
5.6500001,
5.2941175,
4.625,
4.8636365,
4.3333335,
5.652174,
5.4705882,
6.6296296,
6.0999999,
5.647059,
5.7272725,
4.875,
5.5714288,
5.2272725,
5.4000001,
5.625,
5.5714288,
5.5263157,
5.8666668,
5.3333335,
5.125,
5.3888888,
6.2631578,
6.3333335,
6.409091,
6.5999999,
6.7894735,
