clust_RCSI,clust_RCSI_predict
12.3125,4.4620996
5.352941,3.5720112
5.0799999,3.8251081
4.2857141,4.4945388
.8125,3.8275101
10.842105,3.5192785
2.0869565,3.7940288
2.1500001,4.3042006
3.090909,4.0619926
2.25,6.2946391
2.8888888,3.0409067
8.2857141,4.0880103
7.0454545,6.8057833
3.3809524,3.1744971
2.2222223,5.6948037
3.8571429,6.3730044
4.1428571,2.2626152
6,
1.1363636,4.0023417
4.1999998,6.3040524
3.25,3.9749558
4.1999998,5.4605684
7.5454545,5.6826744
3.5263157,5.8065019
10.166667,5.9074588
4,5.6679287
8.5625,6.3950944
6.2105265,8.096715
9.4705887,6.5351014
2.3181818,1.7173779
5.0526314,
8.2631578,4.8169713
4.4705882,3.8591733
3.8823528,3.6371577
6.125,3.4445512
3.6111112,3.4565644
2.0555556,2.292274
4.8888888,4.059588
1.7619047,2.5261841
.86666667,4.4031844
1.25,3.5051353
.2631579,4.0429969
.8125,4.2035875
2.5294118,3.2260711
.625,2.4031005
3.0999999,2.3248174
3.5,2.4194784
5.0500002,3.1270366
3.652174,3.6580825
1.1304348,3.3339617
3.9130435,4.0143313
3.1481481,3.5154521
1.7777778,3.5791838
1.8333334,2.7761846
5.8888888,4.3026962
8.6499996,3.8064606
4.4347825,2.6749597
4.3888888,3.5886185
4.4583335,4.1231837
1.6666666,3.8897593
5.75,3.2640109
11.85,4.1080351
2.75,4.2943649
2.7894738,1.7628838
1.3214285,2.1446006
.90909094,1.3364187
2.8636363,1.5515574
1.6842105,1.2614264
7.652174,2.7376237
.15000001,-.2969152
4.125,2.6641021
4.4375,2.9997184
3.8125,2.9777577
4.8421054,4.1133566
7,4.1324525
7.4705882,4.4430776
4.3684211,4.3214006
3.1904762,4.1676707
3.4705882,4.608561
2.3,2.7266612
8.0526314,3.281539
2.4736843,3.8353953
8.4210529,3.4271395
2.1428571,3.4603617
7.0952382,3.3884966
13.722222,4.1962247
10.714286,3.8310256
2.5238094,2.3288646
12,5.081212
7.5555553,
9.25,5.0213137
3.75,3.4135675
4.6666665,3.5635955
4.6111112,2.9679682
4.1176472,1.4394435
3,3.244803
5.909091,1.9888936
1.5263158,2.8989153
3,2.0716169
3.4000001,2.309099
4.125,2.5301328
3.3125,3.7216525
2.8636363,4.0442667
2.5882354,4.1294913
.78947371,3.3427022
3.1818182,3.8903663
3.5882354,3.4457033
3.5,4.0013862
3.3529413,4.1760731
2,3.4270115
4.4666667,3.3756609
2.4375,3.9347501
2.4736843,3.8583195
.095238097,.88812047
2.2608695,3.2886121
3.3,3.8289039
7,4.2261701
1.7826087,3.9461989
4.5714288,3.9745586
2.72,2.2766631
2.6111112,3.1590712
3.1500001,2.7809927
5.1999998,3.7032175
5.3157897,3.5386827
7.1500001,3.7149031
6.6666665,3.7818637
6,3.427593
2.7391305,3.5257709
3.2592592,4.077878
4.352941,3.0612524
4.7222223,3.7156971
.75,2.5239704
2.8,2.4112937
4.3000002,4.3586116
2.6842105,3.8049645
4.6999998,4.070385
6.8571429,3.6575143
1.2857143,4.1155634
4.4761906,5.1759996
2.3529413,3.9307714
3.0454545,3.8051965
2.8571429,3.3301237
1.9375,2.3425648
3.5,2.5744812
4.0526314,2.5669258
6.1875,4.6162977
10.55,5.9148436
8.043478,5.1524634
7.1052632,4.211833
4.5238094,3.9677184
3,3.5554307
7.818182,3.9867814
3.2777777,2.8414924
4,1.6895581
1.9130435,2.2552848
5.3333335,2.6054242
1.1578947,2.5311682
5.1428571,1.3096912
3.4761906,.67477971
5.3636365,
5.8421054,
2.3043478,
6.125,
7.4736843,
4.2105265,
2.1363637,
4.6999998,
.71428573,
1.8333334,
4.5999999,
3.3571429,
2.4705882,
5.9473686,
4.3157897,
2.5999999,
.8888889,
5.8421054,
.64999998,
4.7647057,
3.4375,
7.9545455,
3.2222223,
2.3913043,
5.5882354,
.37037036,
4.0999999,
6.0588236,
6.318182,
3.125,
3,
3.909091,
4.1999998,
2.6875,
6.8571429,
5.6315789,
3.2666667,
16.277779,
5.2916665,
1.7222222,
6.3157897,
2.6666667,
2.2727273,
3.4000001,
0,
