clust_logFCS,clust_logFCS_predict
3.6660154,3.5250144
3.7188785,3.6637015
3.7998304,3.9320769
3.8448913,3.5961463
3.6879361,3.6092422
3.7841516,3.6891699
3.8374259,3.5805953
3.8953035,3.5608869
3.8047087,3.5072589
3.6172888,3.6971924
3.6439795,3.6119056
3.4990628,3.4999998
3.4933577,3.578681
3.6403515,3.5496261
3.6665723,3.7735102
3.84376,3.6599891
4.0433965,3.9592545
3.8813615,
3.7008128,3.6231666
3.7441485,3.6841807
3.6215286,3.5764167
3.862515,3.6486351
3.9374404,3.6593251
3.8079872,3.595763
3.9977124,3.7073851
3.8358147,3.630312
3.7830768,3.5625517
3.8918312,3.7920394
3.7758429,3.7374022
4.1514988,4.1163435
3.9309611,
3.8444798,3.8147979
3.8362947,3.6577799
3.6930976,3.6062977
3.6518881,3.6187119
3.7350838,3.6729698
3.9886575,3.9500415
3.7446616,3.8953598
3.93312,3.9220757
3.7440948,3.6506152
3.7857857,3.644372
3.7116849,3.5968757
3.8871653,3.6597013
3.9496818,3.6398032
4.2388158,3.9675283
3.9722149,4.0662184
3.8195713,3.9369636
3.7748787,3.7733061
3.9916737,3.6276376
3.8403809,3.6386445
3.8244824,3.6466658
3.8742146,3.6284165
3.7777686,3.6408815
3.9021387,3.7435162
3.7166927,3.5297143
3.5496531,3.5751541
3.9362974,3.8369973
3.7444925,3.6578016
3.5289705,3.6665933
3.5693336,3.5607231
3.6268327,3.6234901
3.4981892,3.5116131
3.6486998,3.603862
4.1787114,4.0557289
4.0011086,3.9679101
4.2960067,4.2327118
4.1393027,4.1660323
4.1048226,4.1372037
3.8897817,3.7991464
4.4301381,4.6665626
3.8571975,3.8168447
4.1035881,3.7903783
3.9184604,3.7678547
3.6246924,3.6068168
3.6686556,3.6109948
3.6704962,3.5818775
3.7689302,3.5977063
3.7852209,3.5078683
3.7130654,3.4764237
4.0658445,3.9872246
4.0676599,3.7885702
4.0440907,3.7076995
3.7745514,3.6624081
3.8609583,3.629138
3.9285622,3.6840334
3.7701697,3.7068498
3.7868888,3.6602955
3.9609897,3.9219139
3.7418106,3.5433896
3.5393257,
3.7601032,3.5969918
3.7442036,3.7167299
3.6866508,3.6792939
3.8576705,3.760114
4.307807,4.0638142
4.0041785,3.8312066
4.1439509,4.0649023
4.1076107,3.9968417
4.0758004,4.0043645
3.9102142,3.8537374
4.0183487,3.8038597
3.8182402,3.6467211
3.9712291,3.7612851
3.7441885,3.6933563
3.9448898,3.9572897
3.745857,3.7432756
3.7006366,3.8182089
3.7242777,3.7678208
3.6038883,3.7299097
4.0880117,3.6321423
3.8565178,3.7193139
3.8771565,3.6163511
3.8044646,3.6982796
4.4177699,4.548326
3.9529483,3.7309706
3.9882655,3.6877813
3.782285,3.653923
3.9465747,3.5833061
3.8390801,3.6278992
3.9228625,4.0409451
4.0240684,3.9120231
3.9198496,3.8846955
3.6902764,3.5750856
3.4244342,3.5677655
3.6624522,3.6127906
3.6410766,3.6823981
3.6560838,3.5948665
3.8188958,3.700052
3.6584873,3.6366885
3.6556187,3.6407857
3.6803482,3.6899347
4.0570364,4.0788326
4.0009079,3.9519813
3.933511,3.6311028
3.9245605,3.6527481
3.888823,3.6501265
3.9735847,3.7612779
3.7099979,3.636271
3.8880391,3.6371734
3.7848067,3.6727452
3.7995741,3.6253545
3.8336868,3.7455537
4.070292,4.0500426
3.8762567,3.8099911
3.9872594,3.9433303
3.8244545,3.6111631
3.7324572,3.5301113
3.8186865,3.5775077
3.9912584,3.7250199
3.8286057,3.6818464
3.8511894,3.7112033
3.7493882,3.6925044
4.1048164,3.907989
4.1718726,4.1844926
3.9400933,3.8633225
4.0186462,3.8795862
4.0405884,3.9290841
4.1376033,4.0186524
4.3435025,4.5034485
3.8839867,3.766324
3.8106563,3.6342325
3.9591575,3.830291
3.6416376,3.7639215
3.7192867,3.8347418
3.7181423,3.6860886
3.9302239,3.8069143
3.4777973,3.6292598
3.9654365,3.8177145
3.9739602,4.1186357
4.0015893,3.9816394
3.9948883,4.2325602
3.8791027,3.8774068
3.6354923,3.6327152
3.9577582,3.7434618
3.7005808,3.7280703
3.8639641,3.7237995
3.9037588,3.6736341
3.996321,3.7913842
3.6687996,3.6429906
3.5208199,3.5886343
3.6095014,3.5463383
3.495477,3.5412371
3.8589108,3.8146164
3.8931241,3.6610131
4.2986822,4.4060965
4.1097946,4.1993399
3.8628192,3.7647901
3.9663641,3.7505264
3.7417641,3.6137714
3.7947338,3.7531374
4.0370798,3.59935
3.8949118,3.6695478
3.883817,3.7580433
3.9784043,3.6995564
3.9291706,3.8188994
3.9026279,3.8299489
3.7447398,3.748611
3.7646635,3.7225742
3.7439375,3.7477224
4.2029653,3.9266653
4.1304073,4.1080122
4.1328444,4.1932993
4.2230363,4.0261583
4.2691398,4.5682969
